 a 	c
http://de.dbpedia.org/resource/Anthony_Minghella 	"120882965"@de
http://de.dbpedia.org/resource/Ang_Lee 	"119317079"@de
http://de.dbpedia.org/resource/Al_Pacino 	"119070243"@de
http://de.dbpedia.org/resource/Aki_Kaurismäki 	"118972332"@de
http://de.dbpedia.org/resource/Alfred_Hitchcock 	"118551647"@de
http://de.dbpedia.org/resource/Angela_Merkel 	"119545373"@de
http://de.dbpedia.org/resource/Anthony_Hope 	"11901842X"@de
http://de.dbpedia.org/resource/Alexander_der_Große 	"118501828"@de
http://de.dbpedia.org/resource/Alan_Turing 	"118802976"@de
http://de.dbpedia.org/resource/Arthur_Harris 	"119344165"@de
http://de.dbpedia.org/resource/Arthur_Wellesley,_1._Duke_of_Wellington 	"118806645"@de
http://de.dbpedia.org/resource/Angelina_Jolie 	"123089190"@de
http://de.dbpedia.org/resource/Archimedes 	"118503863"@de
http://de.dbpedia.org/resource/Abraham_Lincoln 	"11857308X"@de
http://de.dbpedia.org/resource/Aristoteles 	"118650130"@de
http://de.dbpedia.org/resource/Alicia_Silverstone 	"135173108"@de
http://de.dbpedia.org/resource/Al-Biruni 	"118511327"@de
http://de.dbpedia.org/resource/Anna_Seghers 	"118612743"@de
http://de.dbpedia.org/resource/Adam_Ries 	"118745247"@de
http://de.dbpedia.org/resource/Arvo_Pärt 	"119359979"@de
http://de.dbpedia.org/resource/Aleister_Crowley 	"118522892"@de
http://de.dbpedia.org/resource/Anne_Haigis 	"134395700"@de
http://de.dbpedia.org/resource/Anders_Celsius 	"118653326"@de
http://de.dbpedia.org/resource/Augustus 	"118505122"@de
http://de.dbpedia.org/resource/Arthur_Schopenhauer 	"118610465"@de
http://de.dbpedia.org/resource/Aurelian 	"11865117X"@de
http://de.dbpedia.org/resource/Arcadius 	"118848445"@de
http://de.dbpedia.org/resource/Adolf_Hitler 	"118551655"@de
http://de.dbpedia.org/resource/Agatha_Christie 	"118520628"@de
http://de.dbpedia.org/resource/Alfred_Nobel 	"118588370"@de
http://de.dbpedia.org/resource/Alexandre_Dumas_der_Jüngere 	"11852805X"@de
http://de.dbpedia.org/resource/Annette_von_Droste-Hülshoff 	"118527533"@de
http://de.dbpedia.org/resource/André-Marie_Ampère 	"118645048"@de
http://de.dbpedia.org/resource/Albrecht_(Preußen) 	"118637673"@de
http://de.dbpedia.org/resource/Alexander_Fleming 	"118533894"@de
http://de.dbpedia.org/resource/André_Gide 	"118539124"@de
http://de.dbpedia.org/resource/Ada_Lovelace 	"119232022"@de
http://de.dbpedia.org/resource/Andreas_Vesalius 	"118768204"@de
http://de.dbpedia.org/resource/Anaximander 	"118645102"@de
http://de.dbpedia.org/resource/Ariel_Scharon 	"121428184"@de
http://de.dbpedia.org/resource/Achim_von_Arnim 	"118504177"@de
http://de.dbpedia.org/resource/Ares 	"118649973"@de
http://de.dbpedia.org/resource/Alessandro_Volta 	"119292556"@de
http://de.dbpedia.org/resource/Antoni_van_Leeuwenhoek 	"119188279"@de
http://de.dbpedia.org/resource/Adam_und_Eva 	"118646907"@de
http://de.dbpedia.org/resource/Asta_Nielsen 	"118587854"@de
http://de.dbpedia.org/resource/Alexander_Graham_Bell 	"119408643"@de
http://de.dbpedia.org/resource/Abu_Nidal 	"119021676"@de
http://de.dbpedia.org/resource/Bruce_Willis 	"119035499"@de
http://de.dbpedia.org/resource/Richard_Buckminster_Fuller 	"118694251"@de
http://de.dbpedia.org/resource/Billy_Wilder 	"118632795"@de
http://de.dbpedia.org/resource/Barry_Levinson 	"118971093"@de
http://de.dbpedia.org/resource/Bernardo_Bertolucci 	"118510096"@de
http://de.dbpedia.org/resource/Benoît_Mandelbrot 	"118974203"@de
http://de.dbpedia.org/resource/Brian_Eno 	"118955691"@de
http://de.dbpedia.org/resource/Billy_Bob_Thornton 	"115796339"@de
http://de.dbpedia.org/resource/Bill_Murray 	"129616192"@de
http://de.dbpedia.org/resource/B._Traven 	"118623672"@de
http://de.dbpedia.org/resource/Bettina_von_Arnim 	"118504185"@de
http://de.dbpedia.org/resource/Bonaventura_Cavalieri 	"118872621"@de
http://de.dbpedia.org/resource/Björk 	"119525054"@de
http://de.dbpedia.org/resource/Buddy_Holly 	"118817574"@de
http://de.dbpedia.org/resource/Bernhard_Grzimek 	"118543040"@de
http://de.dbpedia.org/resource/Bata_Illic 	"134414004"@de
http://de.dbpedia.org/resource/Blaise_Pascal 	"118591843"@de
http://de.dbpedia.org/resource/Catherine_Zeta-Jones 	"131634488"@de
http://de.dbpedia.org/resource/Caracalla 	"118667041"@de
http://de.dbpedia.org/resource/Catherine_Deneuve 	"118677748"@de
http://de.dbpedia.org/resource/Claude_Lelouch 	"12012002X"@de
http://de.dbpedia.org/resource/Clint_Eastwood 	"11881091X"@de
http://de.dbpedia.org/resource/Charles_Chaplin 	"118520113"@de
http://de.dbpedia.org/resource/Christian_Morgenstern 	"11881169X"@de
http://de.dbpedia.org/resource/Catherine_Oxenberg 	"141533080"@de
http://de.dbpedia.org/resource/Chick_Corea 	"119238489"@de
http://de.dbpedia.org/resource/Charlie_Parker 	"118739328"@de
http://de.dbpedia.org/resource/Caligula 	"118518410"@de
http://de.dbpedia.org/resource/Commodus 	"118521713"@de
http://de.dbpedia.org/resource/Carl_Schmitt 	"11860922X"@de
http://de.dbpedia.org/resource/Clyde_Tombaugh 	"119016109"@de
http://de.dbpedia.org/resource/Charles_Babbage 	"118505459"@de
http://de.dbpedia.org/resource/Clara_Zetkin 	"118636618"@de
http://de.dbpedia.org/resource/Carl_von_Linné 	"118573349"@de
http://de.dbpedia.org/resource/Charles_Messier 	"118733133"@de
http://de.dbpedia.org/resource/Charles_Sanders_Peirce 	"118592459"@de
http://de.dbpedia.org/resource/Charles_Darwin 	"118523813"@de
http://de.dbpedia.org/resource/Christiane_von_Goethe 	"118628011"@de
http://de.dbpedia.org/resource/Charles_Lindbergh 	"118573101"@de
http://de.dbpedia.org/resource/Carl_Barks 	"119135868"@de
http://de.dbpedia.org/resource/Charles_de_Gaulle 	"118537849"@de
http://de.dbpedia.org/resource/Carl_Amery 	"118937197"@de
http://de.dbpedia.org/resource/Carl_Friedrich_Gauß 	"104234644"@de
http://de.dbpedia.org/resource/Claire_Danes 	"139942963"@de
http://de.dbpedia.org/resource/Cosimo_de’_Medici 	"118732463"@de
http://de.dbpedia.org/resource/Christiaan_Huygens 	"118639749"@de
http://de.dbpedia.org/resource/Claus_Schenk_Graf_von_Stauffenberg 	"118642537"@de
http://de.dbpedia.org/resource/Columban_von_Luxeuil 	"118638459"@de
http://de.dbpedia.org/resource/C._S._Lewis 	"118640526"@de
http://de.dbpedia.org/resource/David_Fincher 	"12030466X"@de
http://de.dbpedia.org/resource/David_Cronenberg 	"119114852"@de
http://de.dbpedia.org/resource/David_Wark_Griffith 	"118718851"@de
http://de.dbpedia.org/resource/David_Lynch 	"119035316"@de
http://de.dbpedia.org/resource/David_Arquette 	"124560326"@de
http://de.dbpedia.org/resource/Danny_DeVito 	"130040029"@de
http://de.dbpedia.org/resource/Dennis_Hopper 	"118938312"@de
http://de.dbpedia.org/resource/Dave_Brubeck 	"118952021"@de
http://de.dbpedia.org/resource/Douglas_Coupland 	"119373602"@de
http://de.dbpedia.org/resource/Demokrit 	"11852464X"@de
http://de.dbpedia.org/resource/Douglas_Adams 	"119033364"@de
http://de.dbpedia.org/resource/Domitian 	"118672231"@de
http://de.dbpedia.org/resource/Donald_Ervin_Knuth 	"121578437"@de
http://de.dbpedia.org/resource/Daphne_du_Maurier 	"118528084"@de
http://de.dbpedia.org/resource/Ernest_Rutherford 	"118750488"@de
http://de.dbpedia.org/resource/Douglas_Sirk 	"11883181X"@de
http://de.dbpedia.org/resource/Diogenes_von_Sinope 	"118525867"@de
http://de.dbpedia.org/resource/Edgar_G._Ulmer 	"124471196"@de
http://de.dbpedia.org/resource/Erika_Eleniak 	"13129203X"@de
http://de.dbpedia.org/resource/Erich_Honecker 	"118553399"@de
http://de.dbpedia.org/resource/Edwin_Hubble 	"119183684"@de
http://de.dbpedia.org/resource/Enrico_Fermi 	"118683322"@de
http://de.dbpedia.org/resource/Ernst_Thälmann 	"118621505"@de
http://de.dbpedia.org/resource/Edmund_Stoiber 	"118618512"@de
http://de.dbpedia.org/resource/Euklid 	"118638955"@de
http://de.dbpedia.org/resource/Che_Guevara 	"118543369"@de
http://de.dbpedia.org/resource/Ernst_Jünger 	"118558587"@de
http://de.dbpedia.org/resource/Esther_Friesner 	"113820755"@de
http://de.dbpedia.org/resource/Erich_Kästner 	"118559206"@de
http://de.dbpedia.org/resource/Ennio_Morricone 	"119011328"@de
http://de.dbpedia.org/resource/Emil_Nolde 	"118588494"@de
http://de.dbpedia.org/resource/Évariste_Galois 	"118537393"@de
http://de.dbpedia.org/resource/Erasmus_Reinhold 	"11899901X"@de
http://de.dbpedia.org/resource/Euripides 	"118531395"@de
http://de.dbpedia.org/resource/Erika_Fuchs 	"119361558"@de
http://de.dbpedia.org/resource/Émile_Durkheim 	"118528297"@de
http://de.dbpedia.org/resource/Edsger_Wybe_Dijkstra 	"139688641"@de
http://de.dbpedia.org/resource/Emmy_Noether 	"118588443"@de
http://de.dbpedia.org/resource/Eric_Hoffer 	"121441245"@de
http://de.dbpedia.org/resource/Friedrich_Wilhelm_Murnau 	"118585878"@de
http://de.dbpedia.org/resource/Fidel_Castro 	"118519654"@de
http://de.dbpedia.org/resource/Edelgard_Bulmahn 	"14131091X"@de
http://de.dbpedia.org/resource/Fritz_Lang 	"118569244"@de
http://de.dbpedia.org/resource/Frederic_Vester 	"119009943"@de
http://de.dbpedia.org/resource/Francis_Ford_Coppola 	"118522094"@de
http://de.dbpedia.org/resource/Fred_Zinnemann 	"117005398"@de
http://de.dbpedia.org/resource/Frank_Capra 	"119066211"@de
http://de.dbpedia.org/resource/Ferdinand_de_Saussure 	"118605879"@de
http://de.dbpedia.org/resource/Friedrich_Nietzsche 	"118587943"@de
http://de.dbpedia.org/resource/Franz_Müntefering 	"122960866"@de
http://de.dbpedia.org/resource/Fritz_Kuhn 	"125009267"@de
http://de.dbpedia.org/resource/Franz_Kafka 	"118559230"@de
http://de.dbpedia.org/resource/Farkas_Wolfgang_Bolyai 	"118661256"@de
http://de.dbpedia.org/resource/Francis_William_Aston 	"117765740"@de
http://de.dbpedia.org/resource/Friedrich_Dürrenmatt 	"118527908"@de
http://de.dbpedia.org/resource/Fritz_Walter 	"118764179"@de
http://de.dbpedia.org/resource/Franz_Werfel 	"118631373"@de
http://de.dbpedia.org/resource/Frédéric_Chopin 	"118520539"@de
http://de.dbpedia.org/resource/Gabi_Zimmer 	"122467469"@de
http://de.dbpedia.org/resource/Frank_Herbert 	"118897772"@de
http://de.dbpedia.org/resource/Leonardo_Fibonacci 	"11868700X"@de
http://de.dbpedia.org/resource/George_W._Bush 	"12145391X"@de
http://de.dbpedia.org/resource/Guy_Ritchie 	"132246635"@de
http://de.dbpedia.org/resource/Georges_Méliès 	"118783084"@de
http://de.dbpedia.org/resource/Gregor_Gysi 	"118948032"@de
http://de.dbpedia.org/resource/Giordano_Bruno 	"118516221"@de
http://de.dbpedia.org/resource/Gottfried_Wilhelm_Leibniz 	"118571249"@de
http://de.dbpedia.org/resource/Ferdinand_Graf_von_Zeppelin 	"118636545"@de
http://de.dbpedia.org/resource/Galileo_Galilei 	"118537229"@de
http://de.dbpedia.org/resource/Gene_Hackman 	"12234121X"@de
http://de.dbpedia.org/resource/Gwyneth_Paltrow 	"129578274"@de
http://de.dbpedia.org/resource/Daniel_Gabriel_Fahrenheit 	"118685783"@de
http://de.dbpedia.org/resource/Gregor_XIII. 	"118697390"@de
http://de.dbpedia.org/resource/Galba 	"118716166"@de
http://de.dbpedia.org/resource/Gordian_III. 	"118540793"@de
http://de.dbpedia.org/resource/Georgius_Agricola 	"118501062"@de
http://de.dbpedia.org/resource/Gilgamesch 	"118539302"@de
http://de.dbpedia.org/resource/Gary_Gygax 	"115339442"@de
http://de.dbpedia.org/resource/Gustave_Eiffel 	"118688340"@de
http://de.dbpedia.org/resource/Gene_Roddenberry 	"119218542"@de
http://de.dbpedia.org/resource/Greg_Egan 	"11365491X"@de
http://de.dbpedia.org/resource/Gerhart_Hauptmann 	"118546937"@de
http://de.dbpedia.org/resource/Galenos 	"118537202"@de
http://de.dbpedia.org/resource/George_Boole 	"118661655"@de
http://de.dbpedia.org/resource/Gregory_Chaitin 	"121658600"@de
http://de.dbpedia.org/resource/Gottlob_Frege 	"118535161"@de
http://de.dbpedia.org/resource/Gerhard_Schröder_(CDU) 	"118610821"@de
http://de.dbpedia.org/resource/Hermann_Hesse 	"11855042X"@de
http://de.dbpedia.org/resource/Henry_Cavendish 	"118668889"@de
http://de.dbpedia.org/resource/Hermann_August_Korff 	"11877784X"@de
http://de.dbpedia.org/resource/Hermann_Weyl 	"118816624"@de
http://de.dbpedia.org/resource/Helmut_Kohl 	"118564595"@de
http://de.dbpedia.org/resource/Heino 	"119290979"@de
http://de.dbpedia.org/resource/Heinrich_Himmler 	"11855123X"@de
http://de.dbpedia.org/resource/Hans_Bethe 	"118658662"@de
http://de.dbpedia.org/resource/Hugo_Sinzheimer 	"118614711"@de
http://de.dbpedia.org/resource/Heinrich_Hertz 	"11855008X"@de
http://de.dbpedia.org/resource/Hirohito 	"118639641"@de
